OBJECTID,VERTICE,REGION,PROVINCIA,DISTRITO,LOCALIDAD,LATITUD,LONGITUD
28724,3716.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.564855150,-72.43254172
28725,3717.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.565193120,-72.43260561
28726,3718.00000000000,CUSCO,ANTA,LIMATAMBO,CALLARACAY,-13.566203360,-72.43128051
28757,3749.00000000000,CUSCO,ANTA,LIMATAMBO,YANACCULLO,-13.581535710,-72.43151540
28758,3750.00000000000,CUSCO,ANTA,LIMATAMBO,YANACCULLO,-13.581492320,-72.43174495
28759,3751.00000000000,CUSCO,ANTA,LIMATAMBO,YANACCULLO,-13.581506370,-72.43167339
28760,3752.00000000000,CUSCO,ANTA,LIMATAMBO,YANACCULLO,-13.581465370,-72.43179298
28761,3753.00000000000,CUSCO,ANTA,LIMATAMBO,CHITA,-13.573778740,-72.41644951
28762,3754.00000000000,CUSCO,ANTA,LIMATAMBO,CHITA,-13.573162960,-72.40832981
28763,3755.00000000000,CUSCO,ANTA,LIMATAMBO,QUELLON,-13.548466050,-72.44823136
28764,3756.00000000000,CUSCO,ANTA,LIMATAMBO,QUELLON,-13.547983560,-72.44848706
28765,3757.00000000000,CUSCO,ANTA,LIMATAMBO,QUELLON,-13.548450870,-72.44810413
28766,3758.00000000000,CUSCO,ANTA,LIMATAMBO,QUELLON,-13.548405470,-72.44820014
28768,3760.00000000000,CUSCO,ANTA,HUAROCONDO,MAHUAYPATA,-13.389272720,-72.25125940
28769,3761.00000000000,CUSCO,ANTA,HUAROCONDO,MAHUAYPATA,-13.389559820,-72.25143817
28770,3762.00000000000,CUSCO,ANTA,HUAROCONDO,MAHUAYPATA,-13.389339370,-72.25154725
28771,3763.00000000000,CUSCO,ANTA,HUAROCONDO,MAHUAYPATA,-13.389349390,-72.25145590
28772,3764.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345292340,-72.28380257
28773,3765.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345993890,-72.28138649
28774,3766.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345405340,-72.28298843
28775,3767.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345336890,-72.28291932
28776,3768.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346526840,-72.28325900
28777,3769.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346545200,-72.28334077
28778,3770.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346080730,-72.28479238
28779,3771.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.348307600,-72.28365583
28780,3772.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.348255450,-72.28354729
28781,3773.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.344068300,-72.28476307
28782,3774.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.344177930,-72.28485810
28783,3775.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345256810,-72.28715880
28784,3776.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.343415600,-72.28181734
28785,3777.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.339938780,-72.28569358
28786,3778.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.340017840,-72.28569173
28787,3779.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346164410,-72.28748198
28788,3780.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.347122340,-72.28436802
28789,3781.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.352868910,-72.28754888
28790,3782.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.352831090,-72.28765991
28791,3783.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346195000,-72.28743154
28792,3784.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346062990,-72.28629754
28793,3785.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346115170,-72.28614914
28794,3786.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346167040,-72.28594413
28795,3787.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.336707010,-72.28503875
28796,3788.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.344256510,-72.28497758
28797,3789.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.343857920,-72.28430541
28798,3790.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346428420,-72.28332477
28799,3791.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345147160,-72.28298925
28800,3792.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345141870,-72.28309010
28801,3793.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345185320,-72.28325778
28802,3794.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345254580,-72.28314258
28803,3795.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346095950,-72.28159218
28804,3796.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.346107570,-72.28126499
28805,3797.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345199990,-72.28319993
28806,3798.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345179190,-72.30599828
28807,3799.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.345141890,-72.30554543
28808,3800.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.349130380,-72.29903646
28809,3801.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.349495570,-72.29955614
28810,3802.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.349550600,-72.29987421
28811,3803.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.349054160,-72.29904694
28812,3804.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.357337040,-72.30305134
28813,3805.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.358648520,-72.30298968
28814,3806.00000000000,CUSCO,ANTA,HUAROCONDO,CHIARA,-13.358658510,-72.30313640
28815,3807.00000000000,CUSCO,ANTA,HUAROCONDO,CACLLAY,-13.327414990,-72.29466689
28816,3808.00000000000,CUSCO,ANTA,HUAROCONDO,CACLLAY,-13.327381330,-72.29462491
28817,3809.00000000000,CUSCO,ANTA,HUAROCONDO,CACLLAY,-13.332941690,-72.28826331
28818,3810.00000000000,CUSCO,ANTA,HUAROCONDO,CACLLAY,-13.332989230,-72.28830333
28819,3811.00000000000,CUSCO,ANTA,HUAROCONDO,CACLLAY,-13.332311500,-72.28627491
28820,3812.00000000000,CUSCO,ANTA,HUAROCONDO,CACLLAY,-13.332377230,-72.28633088
28821,3813.00000000000,CUSCO,ANTA,HUAROCONDO,SULLICANCHA,-13.361701600,-72.28822524
28822,3814.00000000000,CUSCO,ANTA,HUAROCONDO,SULLICANCHA,-13.361690980,-72.28815367
28823,3815.00000000000,CUSCO,ANTA,HUAROCONDO,SULLICANCHA,-13.361795080,-72.28825903
28824,3816.00000000000,CUSCO,ANTA,HUAROCONDO,SULLICANCHA,-13.356743860,-72.28975177
28825,3817.00000000000,CUSCO,ANTA,HUAROCONDO,SULLICANCHA,-13.356845000,-72.28959975
28826,3818.00000000000,CUSCO,ANTA,HUAROCONDO,SULLICANCHA,-13.356814460,-72.28967195
28827,3819.00000000000,CUSCO,ANTA,HUAROCONDO,SULLICANCHA,-13.360299190,-72.28632111
28828,3820.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.394257410,-72.29121288
28829,3821.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.394232830,-72.29127863
28830,3822.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.388137640,-72.28330245
28831,3823.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.389502620,-72.27928858
28832,3824.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.390797790,-72.28569781
28833,3825.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.390968210,-72.28628000
28834,3826.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.391038290,-72.28621391
28835,3827.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.390128010,-72.28413930
28836,3828.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.390114720,-72.28400285
28837,3829.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.390466870,-72.27926453
28838,3830.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.404820120,-72.28314498
28839,3831.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.404896680,-72.28316409
28840,3832.00000000000,CUSCO,ANTA,HUAROCONDO,TURPAY,-13.404914350,-72.28307640
28841,3833.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.411875170,-72.27729488
28842,3834.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.411856390,-72.27722131
28843,3835.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.410999070,-72.27592115
28844,3836.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.410946170,-72.27586045
28845,3837.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.411739600,-72.27559157
28846,3838.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.411860940,-72.27561654
28847,3839.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.409386970,-72.28548154
28848,3840.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.408883640,-72.27399017
28849,3841.00000000000,CUSCO,ANTA,HUAROCONDO,MANCAPUGIO,-13.405809140,-72.27017531
28850,3842.00000000000,CUSCO,ANTA,HUAROCONDO,WISCACHANAYOCPATA,-13.390588130,-72.26803303
28851,3843.00000000000,CUSCO,ANTA,HUAROCONDO,CHUSPIYOC,-13.355481510,-72.24747085
28852,3844.00000000000,CUSCO,ANTA,HUAROCONDO,CHUSPIYOC,-13.354778290,-72.24819587
28853,3845.00000000000,CUSCO,ANTA,HUAROCONDO,CHUSPIYOC,-13.357841360,-72.23969035
28854,3846.00000000000,CUSCO,ANTA,HUAROCONDO,CHUSPIYOC,-13.357154700,-72.24259682
28855,3847.00000000000,CUSCO,ANTA,HUAROCONDO,CHUSPIYOC,-13.353533660,-72.23923540
28856,3848.00000000000,CUSCO,ANTA,HUAROCONDO,CHUSPIYOC,-13.353565640,-72.23915765
28857,3849.00000000000,CUSCO,ANTA,HUAROCONDO,CHUSPIYOC,-13.356954660,-72.24003369
28858,3850.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.350452230,-72.26455976
28859,3851.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.350425480,-72.26442981
28860,3852.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.349469250,-72.26418897
28861,3853.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.349154800,-72.26400315
28862,3854.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.349088300,-72.26404861
